"Eh bien !","Je m’y rendrai, toujours exempt d’effroi."
"Le ciel le souhaite comme cela.","Il suffit don juan, je vous entends, ce n’est pas ici que je veux venir vous prendre, et le lieu ne le souffre pas, mais avant qu’il soit peu je saurai vous trouver."
"Ceci est bien pis que le reste, et je vous aimerais bien mieux encore comme vous étiez auparavant, j’espérais toujours de votre salut, mais c’est maintenant que j’en désespère, et je croyais que le ciel qui vous a souffert jusques ici ne pourra du tout souffrir cette dernière horreur.","Va va, le ciel n’est pas si exact que tu penses, et si toutes les fois que les hommes…"
"Ah monsieur, c’est le ciel qui vous parle, et c’est un avis qu’il vous donne.","Si le ciel me donne un avis, il faut qu’il parle plus clairement s’il veut que je l’entende."
"Ah monsieur, c’est un spectre je le reconnais au marcher.","Spectre, fantôme, ou diable je veux voir ce que c’est."
"Voyez, monsieur, ce changement de figure.","Non, non, rien n’est capable de m’imprimer de la terreur, et je veux éprouver avec mon épée si c’est un corps ou un esprit."
"Ah monsieur, rendez-vous à tant de preuves et jetez-vous vite dans le repentir.","Non, non, il ne sera pas dit que quoi qu’il arrive je sois capable de me repentir allons suis-moi."
"Mes gages !","Voilà par sa mort un chacun satisfait, ciel offensé, lois violées, filles séduites, familles déshonorées, parents outragés, femmes mises à mal, maris poussés à bout, tout le monde est content, il n’y a que moi seul de malheureux, mes gages, mes gages, mes gages !"
"Ses serments !","Si c'est là que votre espoir s'arrête, votre hymen n'est pas encore chose prête, il en prodigue assez, mais il n'en tient jamais."
"Je sais un peu trop de ses faits.","vous n’êtes pas la seule à qui même aventure  a mis honneur et biens en mauvaise posture,  il prend de tous cotés ce qu’il peut attraper  et sans scrupule aucun fait gloire de tromper ;  tout pour son appétit est d’un égal usage,  il met impunément belle ou laide au pillage,  et saoul de leur honneur, il cherche en d’autres lieux  s’il pourra rencontrer qui le contente mieux."
"Il fallait s’en douter.","peste, que votre sexe est facile à tenter !"
"peste, que votre sexe est facile à tenter !","il ne faut pas toujours croire les apparences,  et l’on doit mûrement prévoir les conséquences,  c’est trop facilement se laisser enflammer."
"Hélas !","Que tu sais peu ce que c’est que d’aimer ;  à voir mille transports d’une flamme assidue,  quelle fierté, dis-moi, ne se serait rendue ?"
"En matière d’amour  il faut que la raison vous gouverne à son tour.","tant d’infidélités, dans le siècle où nous sommes,  ne déclarent que trop quelle est l’humeur des hommes ;  car pour un qui dit vrai, mille autres plus trompeurs  volent impunément les dernières faveurs."
"tant d’infidélités, dans le siècle où nous sommes,  ne déclarent que trop quelle est l’humeur des hommes ;  car pour un qui dit vrai, mille autres plus trompeurs  volent impunément les dernières faveurs.","pour peu que votre sexe écoute leurs promesses,  ils savent profiter de toutes vos faiblesses,  et faisant grand fracas de leur fidélité,  surprennent aisément votre crédulité."
"pour peu que votre sexe écoute leurs promesses,  ils savent profiter de toutes vos faiblesses,  et faisant grand fracas de leur fidélité,  surprennent aisément votre crédulité.","et puisqu’il faut ici vous faire tout connaître,  pour ne vous rien celer de l’humeur de mon maître,  c’est qu’il est mille fois plus perfide qu’eux tous."
"et puisqu’il faut ici vous faire tout connaître,  pour ne vous rien celer de l’humeur de mon maître,  c’est qu’il est mille fois plus perfide qu’eux tous.","L’ingrat me promettait qu’il serait mon époux."
"Tel qu’il soit, je prétends aujourd’hui lui parler ;  son ardeur envers moi pourra se réveiller,  l’amour produit souvent des retours dans une âme.","Vous ferez un grand coup s'il y consent."
"Vous ferez un grand coup s'il y consent.","J’en veux être assurée, et s’il me quitte enfin,  pour laver cet affront j’ai le remède en main,  ma mort en éteindra la funeste mémoire."
"J’en veux être assurée, et s’il me quitte enfin,  pour laver cet affront j’ai le remède en main,  ma mort en éteindra la funeste mémoire.","Toujours sur cet article il ne faut pas s’en croire :  quoique l’honneur soit cher, vivre est encore plus doux,  et loin de vous pleurer, on se rirait de vous."
"Toujours sur cet article il ne faut pas s’en croire :  quoique l’honneur soit cher, vivre est encore plus doux,  et loin de vous pleurer, on se rirait de vous.","n’affectez point ici la vertu de lucrèce ;  je sais que ce malheur cause de la tristesse,  mais en pareil sujet on n’agit pas fort bien  si l’on ne veut s’en taire et n’en témoigner rien."
"n’affectez point ici la vertu de lucrèce ;  je sais que ce malheur cause de la tristesse,  mais en pareil sujet on n’agit pas fort bien  si l’on ne veut s’en taire et n’en témoigner rien.","mais puisque vous voulez en être plus certaine,  mettez-vous, s’il vous plaît, dans la chambre prochaine :  mon maître doit venir dans un moment ici,  et je vais lui parler de vous ; mais le voici."
"C’est l’ordinaire.","depuis que je vous sers, je ne vois pas un jour qui se passe, sans crime et sans amour."
"depuis que je vous sers, je ne vois pas un jour qui se passe, sans crime et sans amour.","Quels crimes ai-je fait ?"
"Quels crimes ai-je fait ?","Faire mourir son père,  ce n’est rien ?"
"Faire mourir son père,  ce n’est rien ?","Son humeur était par trop sévère,  carrille, et pour son bien j’ai dû m’en dépêcher."
"Son humeur était par trop sévère,  carrille, et pour son bien j’ai dû m’en dépêcher.","qui ne se fût lassé de l’entendre prêcher ?"
"qui ne se fût lassé de l’entendre prêcher ?","contre mes moeurs sans cesse il armait sa censure,  sans cesse il me chantait quelque nouvelle injure,  et."
"J’en demeure d’accord,  mais de sa main aussi j’aurais reçu la mort ;  les beaux yeux de sa fille à mes yeux surent plaire,  et pour en mieux jouir il fallait s’en défaire ;  l’obstacle était trop grand pour en venir à bout,  et pour l’objet aimé l’amant hasarde tout.","Et de tous les côtés des filles abusées,  dont les familles sont partout scandalisées ?"
"Et de tous les côtés des filles abusées,  dont les familles sont partout scandalisées ?","bon, ce sont des chansons ; quels crimes a-t-il fait ?"
"bon, ce sont des chansons ; quels crimes a-t-il fait ?","Au grand galop vous courez au gibet."
"Quoi !","Toujours parler, et sans vouloir m’entendre ?"
"Toujours parler, et sans vouloir m’entendre ?","sans craindre mon courroux oses-tu me reprendre ?"
"hé !","Que t’importe-t-il si je fais bien ou mal ?"
"Que t’importe-t-il si je fais bien ou mal ?","l’un ou l’autre pour toi n’est-il pas [bien] égal ?"
"Est-ce votre inconstance ?","ne connaissez-vous plus ce qui vous sut charmer  et pour tout dire enfin, cessez-vous de m’aimer ?"
"ne connaissez-vous plus ce qui vous sut charmer  et pour tout dire enfin, cessez-vous de m’aimer ?","après tant de serments."
"après tant de serments.","Oui, j'avouerai que vos attraits ont eu du pouvoir sur mon âme, mais."
"Ce mais ne promet rien de bon.","Je ne vous aime plus."
"Et par quelle raison ?","tu devais m’épouser, je n’ai ta foi pour gage,  ingrat."
"N'en parlons pas davantage.","en vain vous faites fond sur le don de mon coeur."
"le bien dont on jouit ne cause plus d’ardeur,  et la possession, plus elle a fait d’envie,  du plaisir de jouir est bientôt assouvie.","j’ai prodigué des soins, j’ai fait mille serments  mais jusqu’où ne va pas l’audace des amants ?"
"j’ai prodigué des soins, j’ai fait mille serments  mais jusqu’où ne va pas l’audace des amants ?","dans l’espoir d’un bonheur leur transport autorise  les serments continus, les détours, la surprise,  la plainte, les dédains, les pleurs et le courroux ;  bref, j’eusse encore plus fait pour avoir tout de vous,  mais que ces grands ressorts qu’anime l’espérance  fassent mouvoir mon âme après la jouissance,  ne l’espérez jamais : je veux me contenter,  et tout autre que vous a droit de me tenter."
"dans l’espoir d’un bonheur leur transport autorise  les serments continus, les détours, la surprise,  la plainte, les dédains, les pleurs et le courroux ;  bref, j’eusse encore plus fait pour avoir tout de vous,  mais que ces grands ressorts qu’anime l’espérance  fassent mouvoir mon âme après la jouissance,  ne l’espérez jamais : je veux me contenter,  et tout autre que vous a droit de me tenter.","Et tu peux sans remords violer ta promesse ?"
"Ah, cruel !","Remets dans ta mémoire  les efforts que j’ai faits pour conserver ma gloire,  que le crime sur moi n’a pris aucun pouvoir,  que mes plaisirs ont eu pour règle mon devoir,  et que si ma vertu succomba sous tes charmes,  tout autre à tes serments leur eut rendu les armes :  mais las !"
"Remets dans ta mémoire  les efforts que j’ai faits pour conserver ma gloire,  que le crime sur moi n’a pris aucun pouvoir,  que mes plaisirs ont eu pour règle mon devoir,  et que si ma vertu succomba sous tes charmes,  tout autre à tes serments leur eut rendu les armes :  mais las !","Pour mon malheur, tu feignais de m’aimer,  quand à voir tant de feux je me laissai charmer ;  ta bouche me jurait une amitié sincère,  quand ton perfide coeur pensait tout le contraire ;  tes yeux par leur douceur me montraient ton amour,  les miens par leur langueur t’en marquaient à leur tour ;  et cependant ingrat, après tant de promesses,  qui m’ont tant arraché d’innocentes caresses,  après mille serments d’une immuable foi ;  tu dédaignes ma flamme et te moques de moi ?"
"Pour mon malheur, tu feignais de m’aimer,  quand à voir tant de feux je me laissai charmer ;  ta bouche me jurait une amitié sincère,  quand ton perfide coeur pensait tout le contraire ;  tes yeux par leur douceur me montraient ton amour,  les miens par leur langueur t’en marquaient à leur tour ;  et cependant ingrat, après tant de promesses,  qui m’ont tant arraché d’innocentes caresses,  après mille serments d’une immuable foi ;  tu dédaignes ma flamme et te moques de moi ?","Sans vous tant affliger ayez recours au change,  c’est ainsi qu’aisément de l’un l’autre on se venge."
"elle a beaucoup d’esprit, elle est noble, elle est belle,  et de moins dégoûtés s’accommoderaient d’elle.","après de si grands maux, faites un peu de bien."
"Hé !","Dois-je suivre ici ton avis ou le mien ?"
"Don juan, si mes pleurs.","Encore un coup, vous espérez en vain du pouvoir sur mon âme."
"Encore un coup, vous espérez en vain du pouvoir sur mon âme.","Après ta lâcheté le ciel ni son courroux,  ne t’intimident point ?"
"Après ta lâcheté le ciel ni son courroux,  ne t’intimident point ?","Il songe bien à nous."
"Il songe bien à nous.","Va, fuis l’emportement de ton âme infidèle,  les dieux embrasseront cette juste querelle,  et."
"Va, fuis l’emportement de ton âme infidèle,  les dieux embrasseront cette juste querelle,  et.","Ne les régler point suivant votre intérêt,  laissez-les, s’il en est, agir comme il leur plaît,  et sans les attacher à vos moindres caprices,  remettez-leur le soin de vous être propices."
"Ah !","Crains leur châtiment."
"Crains leur châtiment.","Vous m’en parlez en vain,  j’en attends les effets pour en être certain."
"Vous m’en parlez en vain,  j’en attends les effets pour en être certain.","Ô vous qui prenez soin d’appuyer l’innocence,  accordez à mes pleurs une prompte vengeance !"
"Enfin, m’en voilà quitte.","Et fort impunément :  belle commodité de fausser son serment !"
"Et fort impunément :  belle commodité de fausser son serment !","vous vous en acquittez assez bien, mon cher maître,  et ne rougissez point de passer pour un traître,  mais trêve à ce discours."
"vous vous en acquittez assez bien, mon cher maître,  et ne rougissez point de passer pour un traître,  mais trêve à ce discours.","Vos fidèles amis  s’embarquent-ils aussi ?"
"Vos fidèles amis  s’embarquent-ils aussi ?","Tous deux me l’ont promis."
"Tous deux me l’ont promis.","Ne vous voilà pas mal, vous allez faire rage,  trois débauchés en diable : ah, le bel assemblage !"
"Ma foi, ne valent rien,  et sans eux vous feriez un fort homme de bien,  vous n’auriez jamais eu tant d’habitude aux crimes,  si vous n’aviez suivi leurs coupables maximes ;  mais depuis qu’ils se sont attachés près de vous,  toujours on vous a vu faire de méchants coups.","mais je les vois venir."
"Ce n’est pas mon dessein de régler votre envie ;  mais pourquoi ces transports ?","Pourquoi ces vanités ?"
"on peut dans l’apparence être moins emporté  et donner à ses sens une pleine carrière ;  notre coeur en secret en a la joie entière,  et goûtant les plaisirs, on s’applaudit tout bas,  de ce qu’on est content et qu’on ne le sait pas.","N’importe, je ne puis souffrir cette méthode ;  soit humeur ou raison, je la trouve incommode :  que seraient les plaisirs, s’ils ne font quelque bruit ?"
"N’importe, je ne puis souffrir cette méthode ;  soit humeur ou raison, je la trouve incommode :  que seraient les plaisirs, s’ils ne font quelque bruit ?","le silence toujours est ce qui les détruit ;  comme de ces transports on aime à faire gloire,  il faut les faire voir pour les mieux faire croire ;  c’est les désavouer que les cacher ainsi."
"Mais regardons un peu comme on en use ici.","Il est vrai, don felix, qu’en ce siècle où nous sommes,  pour vivre il faut savoir l’art d’éblouir les hommes,  et sur un beau prétexte acquérir du crédit,  paraître plus qu’on n’est, faire plus qu’on ne dit,  couvrir ses actions d’une belle apparence,  se masquer de vertu pour perdre l’innocence,  être bon dans les yeux et méchant dans le coeur,  professer l’infamie et défendre l’honneur,  d’un faux jour de vertu donner lustre à la vie,  se montrer fort content quand on crève d’envie,  et si l’on aime, enfin, parer toujours les feux  du prétexte brillant d’un sentiment pieux."
"Il est vrai, don felix, qu’en ce siècle où nous sommes,  pour vivre il faut savoir l’art d’éblouir les hommes,  et sur un beau prétexte acquérir du crédit,  paraître plus qu’on n’est, faire plus qu’on ne dit,  couvrir ses actions d’une belle apparence,  se masquer de vertu pour perdre l’innocence,  être bon dans les yeux et méchant dans le coeur,  professer l’infamie et défendre l’honneur,  d’un faux jour de vertu donner lustre à la vie,  se montrer fort content quand on crève d’envie,  et si l’on aime, enfin, parer toujours les feux  du prétexte brillant d’un sentiment pieux.","c’est ainsi qu’aujourd’hui se gouverne le monde,  et pour n’en point mentir l’adresse est sans féconde,  je ne condamne point cette façon d’agir,  et je m’en trouve bien, quand je veux m’en servir."
"c’est ainsi qu’aujourd’hui se gouverne le monde,  et pour n’en point mentir l’adresse est sans féconde,  je ne condamne point cette façon d’agir,  et je m’en trouve bien, quand je veux m’en servir.","Aussi risque-t-on moins, suivant cette manière :  on a, dans les plaisirs, sûreté tout entière,  le vice continue en manquant de témoins,  l’on vous croit innocent quand vous l’êtes le moins ;  dans le doute qu’on a, si quelqu’un vous accuse,  vingt autres plus dupés soutiendront qu’il s’abuse,  et l’affectation d’un mérite apparent  impose le silence à tel qui nous reprend."
"Cependant que chacun se gouverne à sa mode  pour moi qui n’ai d’égard qu’a ce qui m’accommode,  j’agis différemment suivant l’occasion,  et je ne suis jamais la même opinion ;  par force, ou par douceur, je sais me satisfaire,  et je crois que pour tout c’est le plus nécessaire.","J’approuve votre avis : mais carrille paraît."
"Vous n’avez qu’à partir votre équipage est prêt.","pour moi qui ne veux pas qu’un caprice d’eole  me ballote à son gré de l’un à l’autre pôle,  trouvez bon, s’il vous plaît, que je demeure ici."
"Quoi !","Carrille nous quitte ?"
"Ah, tu viendras aussi !","Qui pourrait se passer du fidèle carrille ?"
"Qui pourrait se passer du fidèle carrille ?","Il ne reste que moi de toute ma famille !"
"Il ne reste que moi de toute ma famille !","si je viens à périr ma race manquera."
"si je viens à périr ma race manquera.","Au péril de ses jours chacun te sauvera."
"Au péril de ses jours chacun te sauvera.","Chacun dans le danger ne songe qu’à sa vie."
"Chacun dans le danger ne songe qu’à sa vie.","Ne crains rien, viens carrille."
"Tous les refus ici ne sont pas de saison ;  nous voulons t’emmener.","Songez un peu, de grâce,  qu’on n’est point assuré d’une pleine bonace,  que tantôt aux enfers et tantôt dans les cieux,  on voit de tous cotés la mort devant les yeux,  qu’on est à la merci d’un vent impitoyable,  qu’un vaisseau peut périr sur quelque banc de sable,  qu’il peut crever encore par un autre danger,  et quel péril pour moi qui ne sais point nager."
"À la fin m’y voilà.","sans ce morceau de mât je serais resté là,  je t’en rends grâce, ô ciel !"
"n’auriez-vous point ici par hasard vu mon maître ?","quoiqu’à dire le vrai, c’est un coup de bonheur  s’il a pu se sauver."
"Quel en est l’équipage ?","Ils sont fort bien vêtus."
"Ils sont fort bien vêtus.","Et sont-ils loin d’ici ?"
"Non dans cette maison ; mais vous voilà transi :  venez vous y sécher et savoir votre affaire,  et prendre un doigt de vin.","Cela m’est nécessaire,  et je suis résolu pour me remettre enfin,  ayant bien bu de l’eau de boire bien du vin."
"J’y vais mon père.","D’où vient que vous sortez d’auprès de votre mère ?"
"D’où vient que vous sortez d’auprès de votre mère ?","vous n’aimez qu’à courir et c’est le vrai moyen,  de vous perdre, ma fille, et de ne valoir rien."
"Les cris de ce garçon au fort de la tempête.","Vous n’aurez jamais tort ; mais rentrez, bonne bête,  et qu’on n’approche point des gens qui sont chez nous,  car ces plumets de cour font toujours de leurs coups."
"Que vous importe-t-il, notre fille thomasse ?","vous jugez par l’habit et souvent ce n’est rien."
"peut-être qu’aucun d’eux n’a pas cinq sols de bien,  et je ne suis pas mal s’ils payent leur dépense.","ces fanfarons pour nous sont fort petite chance,  pour du bruit ils en font assez passablement,  bonne mine toujours, mais point de paiement."
"on ronge cependant le pauvre hôte à bon compte,  et s’il veut de l’argent aussitôt on l’affronte :  avec un passager nous avons plus de gain,  et s’il dépense peu notre argent est certain.","Non, non, ne croyez pas que des gens de la sorte."
"Ouais !","D’où vient que pour eux ton estime est si forte ?"
"Monsieur, ne jurez pas, de peur d’être parjure.","Faquin, te tairas-tu."
"Jamais.","Insolent !"
"Insolent !","Il promet !"
"Il promet !","Fausse-t-il sa parole ?"
"Fausse-t-il sa parole ?","Vous allez voir jouer un autre rôle."
"Quoi donc !","Après m’avoir engagé votre foi,  vous en voulez un[e] autre et vous moquer de moi ?"
"Que vous veut donc ma soeur ?","Et de quoi se plaint-elle ?"
"Et de quoi se plaint-elle ?","Elle se plaint à moi que je ne l’aime point."
"Elle se plaint à moi que je ne l’aime point.","Et que n’apaisez-vous son esprit sur ce point ?"
"Monsieur, que dites-vous ?","ma soeur a-t-elle lieu plus que moi d’y prétendre ?"
"Plus que vous, point du tout, je lui faisais entendre,  que c’était temps perdu de s’arrêter à moi,  et que vous avez seule et mon coeur et ma foi.","Que parlez-vous de foi ?"
"Mais thomasse, monsieur, se rend bien importune.","Elle a lieu de pleurer sa mauvaise fortune,  et doit se plaindre au ciel de n’avoir pas ces yeux,  qui font de mon bonheur les maîtres et les dieux,  elle aura du dépit de vous voir mon épouse."
"Vous pourriez douter de l’ardeur de mes feux ?","Mais aussi sans façon prenez l’une des deux."
"Mais aussi sans façon prenez l’une des deux.","Et ne voyez-vous pas que je veux m’en défaire ?"
"Hé, s’il te plaît, pourquoi ?","Parce que je sais bien qu’il n’aime rien que moi."
"Ton extrême beauté sans doute a pu lui plaire ?","Ne raille point, j’en ai du moins autant que toi."
"Ne raille point, j’en ai du moins autant que toi.","Tu le dis, mais peux-tu te comparer à moi ?"
"Mais pour moi, car je l’ai bien ouï,  il lui faut demander : monsieur, sans raillerie,  de ma soeur ou de moi, dites nous, je vous prie,  qui sera votre femme ?","Et détournez les yeux  sur celle de nous deux que vous aimez le mieux."
"Et détournez les yeux  sur celle de nous deux que vous aimez le mieux.","Bon, il m’a regardée."
"Bon, il m’a regardée.","Et moi, j’en suis contente."
"Et moi, j’en suis contente.","Pour vous mettre d’accord chacune en votre attente,  je veux épouser celle à qui je l’ai promis."
"Pour vous mettre d’accord chacune en votre attente,  je veux épouser celle à qui je l’ai promis.","toi, carrille, attends-moi, je ne vais qu’au logis."
"toi, carrille, attends-moi, je ne vais qu’au logis.","Quel abominable homme !"
"connaissez-vous mon maître, et vous y fiez-vous ?","vous le croyez sincère, avec ces propos doux,  mais si je vous disais l’humeur du personnage,  vous verriez que son coeur."
"vous le croyez sincère, avec ces propos doux,  mais si je vous disais l’humeur du personnage,  vous verriez que son coeur.","À quoi bon ce langage ?"
"et quel est son dessein ?","De vous désabuser  de ce que vous croyez qu’il veut vous épouser."
"De vous désabuser  de ce que vous croyez qu’il veut vous épouser.","Que viens-tu nous conter et devons-nous te croire ?"
"Que viens-tu nous conter et devons-nous te croire ?","tout ce que tu nous dis n’offense point sa gloire,  tel qu’il est je le veux."
"je ne t’empêche pas d’y faire ton pouvoir.","mais que t’importe-t-il, valet causeur et traître,  s’il sera mon mari ?"
"Parle mieux de ton maître,  je le crois honnête homme.","Et c’est un scélérat,  un loup, un diable, un chien, un renard, un vrai chat."
"Et c’est un scélérat,  un loup, un diable, un chien, un renard, un vrai chat.","un loup pour vous piller vos trésors, un vrai diable  pour vous mettre en enfer, un chien insatiable,  qui n’applique ses soins qu’à mordre la pudeur,  un chat qui met la patte aux quartiers de l’honneur,  un renard qui ne tâche, avecque ses finesses,  qu’à vous accommoder, belles, de toutes pièces,  et sans vous ennuyer de noms jusqu’à demain,  en un mot l’épouseur de tout le genre humain."
"un loup pour vous piller vos trésors, un vrai diable  pour vous mettre en enfer, un chien insatiable,  qui n’applique ses soins qu’à mordre la pudeur,  un chat qui met la patte aux quartiers de l’honneur,  un renard qui ne tâche, avecque ses finesses,  qu’à vous accommoder, belles, de toutes pièces,  et sans vous ennuyer de noms jusqu’à demain,  en un mot l’épouseur de tout le genre humain.","Va, nous ne croyons point ce que tu viens de dire."
"Va, nous ne croyons point ce que tu viens de dire.","Vous n’aurez pas, ma foi, toutes deux, lieu d’en rire ;  souvenez-vous qu’ici je dis la vérité."
"Vous n’aurez pas, ma foi, toutes deux, lieu d’en rire ;  souvenez-vous qu’ici je dis la vérité.","C’est plutôt un effet de ta méchanceté,  je suis sûre qu’il doit me tenir sa promesse."
"C’est plutôt un effet de ta méchanceté,  je suis sûre qu’il doit me tenir sa promesse.","Et je suis sûre aussi que je suis sa maîtresse."
"Et je suis sûre aussi que je suis sa maîtresse.","Croyez-le assurément, ce sera pour un jour."
"Croyez-le assurément, ce sera pour un jour.","que ce sexe est facile à prendre de l’amour !"
"Celle que son père avait fait enfermer ?","Elle-même, et tantôt, examinant le temple  que l’on voit en ces lieux et qui n’a point d’exemple,  j’ai su que cet objet qui fit naître mes feux  était prête demain d’y faire quelques voeux,  et je veux l’enlever par force ou par adresse."
"voulez-vous seconder cette ardeur qui m’empresse ?","Vous me connaissez trop pour en pouvoir douter,  je fais pour un ami gloire de tout tenter,  je n’examine point quel péril y peut être,  dans les plus grands dangers l’amitié doit paraître,  et quand je serais sûr d’y trouver le trépas,  la crainte de périr ne m’arrêterait pas :  jugez après cela si je veux l’entreprendre."
"Regardons comme il nous faut agir.","À vous dire le vrai, la chose est difficile,  je ne sais quel moyen nous y peut être utile."
"À vous dire le vrai, la chose est difficile,  je ne sais quel moyen nous y peut être utile.","le temple est bien fermé, les murs sont élevés,  il n’est aucun endroit que je n’aie observé ;  à moins que s’y glisser par quelque stratagème,  ou de forcer ce fort où l’on tient ce que j’aime,  nous ne pouvons (sic) jamais accomplir ce dessein."
"Non, non, je sais pour vous un moyen plus certain.","je veux brûler ce temple, et cette main s’apprête  à vous donner ainsi cette aimable conquête."
"je veux brûler ce temple, et cette main s’apprête  à vous donner ainsi cette aimable conquête.","dans le désordre affreux que produira le feu,  vous y pourrez entrer et jouer votre jeu ;  feignant de secourir, vous prendrez cette belle,  et dans l’obscurité vous fuirez avec elle."
"dans le désordre affreux que produira le feu,  vous y pourrez entrer et jouer votre jeu ;  feignant de secourir, vous prendrez cette belle,  et dans l’obscurité vous fuirez avec elle.","trouvez-vous ce moyen infaillible pour vous ?"
"Le coup est fort hardi, mais ma plus forte envie  c’est de voir, don felix, qu’on parle de ma vie.","dans éphèse un grand coeur fit la même action,  et j’avais de tout temps pareille ambition ;  il s’immortalisa par ce trait de courage,  et puisque à vous servir l’occasion m’engage,  je veux sans différer l’entreprendre aujourd’hui,  et qu’on dise de moi ce que l’on dit de lui."
"à quelle extrémité mon maître me réduit !","planté dans une rue, et sans armes, la nuit,  et par surcroît de mal, près des lieux où ce diable  fera dans un moment un vacarme effroyable !"
"planté dans une rue, et sans armes, la nuit,  et par surcroît de mal, près des lieux où ce diable  fera dans un moment un vacarme effroyable !","qui, dans un tel état, aurait assez de coeur  pour ne pas ressentir les effets de la peur ?"
"la peste !","C’est le diable, et ce malheureux saut,  à parler franchement, n’est pas ce qu’il me faut."
"C’est le diable, et ce malheureux saut,  à parler franchement, n’est pas ce qu’il me faut.","j’aime mieux mourir seul qu’en bonne compagnie,  et ne suis pas pressé d’abandonner la vie."
"Nous allons voir beau jeu,  quels cris de tous côtés ?","Le temple est tout en feu."
"Qui va là ?","Je suis mort."
"Je suis mort.","pauvre carrille, où diable ai-je heurté si fort ?"
"pauvre carrille, où diable ai-je heurté si fort ?","n’importe, quoiqu’ici ma crainte soit extrême,  tâchons."
"Je vois qu’avec vous je traîne mon lien,  et si j’y reste encor, je pourrai bien, je pense,  épouser avec vous une même potence.","Coquin."
"Coquin.","Ma foi, je crains trop les sergents, si vous tombez un jour dans les mains de ces gens, n'êtes-vous pas perdu sans aucune ressource ?"
"Ma foi, je crains trop les sergents, si vous tombez un jour dans les mains de ces gens, n'êtes-vous pas perdu sans aucune ressource ?","encor dans certain temps on fait jouer la bourse,  la plupart sont d’humeur à ne refuser rien,  et peu sans ces accords posséderaient du bien ;  mais jusqu’au moindre cas, chez vous tout est pendable,  et j’en pourrais pâtir autant que le coupable,  quand je serai grippé, jugez ce qui s’ensuit."
"encor dans certain temps on fait jouer la bourse,  la plupart sont d’humeur à ne refuser rien,  et peu sans ces accords posséderaient du bien ;  mais jusqu’au moindre cas, chez vous tout est pendable,  et j’en pourrais pâtir autant que le coupable,  quand je serai grippé, jugez ce qui s’ensuit.","la peste !"
"la peste !","Quelque sot !"
"Arrête.","Mais à quoi vous suis-je nécessaire ?"
"Suffit que je le veuille, tu dois me satisfaire.","Mais croyez-vous, qu'on ne vous cherche pas et que vous n'ayez point d'ennemis sur les bras ?"
"Mais croyez-vous, qu'on ne vous cherche pas et que vous n'ayez point d'ennemis sur les bras ?","De quelque grand péril qu'on menace ma tête, tu me verras plus ferme au fort de la tempête, affronter le danger sans craindre le trépas."
"De quelque grand péril qu'on menace ma tête, tu me verras plus ferme au fort de la tempête, affronter le danger sans craindre le trépas.","la foudre peut tomber et ne m’écraser pas."
"la foudre peut tomber et ne m’écraser pas.","ce bras sait l’art de vaincre, et du moins si ma vie  est par mes ennemis ardemment poursuivie,  et qu’il faille céder aux caprices du sort,  carrille, j’ai du coeur pour me donner la mort."
"ce bras sait l’art de vaincre, et du moins si ma vie  est par mes ennemis ardemment poursuivie,  et qu’il faille céder aux caprices du sort,  carrille, j’ai du coeur pour me donner la mort.","mais pour te faire voir que ni peur ni menace  ne peuvent ébranler une si ferme audace,  je verrais maintenant et la terre et les cieux  animer contre moi cent monstres furieux,  que d’un coeur intrépide et d’un bras indomptable,  j’opposerais ma force à leur rage effroyable."
"mais pour te faire voir que ni peur ni menace  ne peuvent ébranler une si ferme audace,  je verrais maintenant et la terre et les cieux  animer contre moi cent monstres furieux,  que d’un coeur intrépide et d’un bras indomptable,  j’opposerais ma force à leur rage effroyable.","cependant au départ il nous faut préparer,  car dans peu de ces lieux je me veux retirer,  et si je ne te vois pas résolu de me suivre,  sois sûr qu’au même instant tu cesseras de vivre."
"Qu’avec un tel maître on souffre de tourments.","Dans l'état où je suis, je ferai rage."
"Dans l'état où je suis, je ferai rage.","Tu peux bien te défendre avec cet équipage :  mais du coeur, en as-tu ?"
"Tu peux bien te défendre avec cet équipage :  mais du coeur, en as-tu ?","Comme un diable, morbleu !"
"Ah, mort !","Te voilà tout en feu."
"réserve ces transports pour défendre ton maître,  c’est dans l’occasion que l’on se fait connaître.","Que ne vois-je quelqu’un qui voulût ?"
"Rien, monsieur.","Ah, qu’il serait battu !"
"Que fais-tu donc ?","Je ne sais quoi me gêne ;  ne nous suivrait-on point ?"
"Je ne sais quoi me gêne ;  ne nous suivrait-on point ?","Pourquoi t’en mettre en peine ?"
"Tu trembles.","Point du tout, mon courage est tout prêt."
"Regarder toujours là !","Quelle est cette manière ?"
"Quelle est cette manière ?","C’est pour voir si quelqu’un ne vient point par derrière  nous allonger un coup qui nous ôte d’état  de pouvoir comme il faut nous ôter du combat :  dans ces occasions la surprise est à craindre."
"C’est pour voir si quelqu’un ne vient point par derrière  nous allonger un coup qui nous ôte d’état  de pouvoir comme il faut nous ôter du combat :  dans ces occasions la surprise est à craindre.","encore se battant bien l’on ne doit pas se plaindre,  si malgré notre effort un autre est le vainqueur,  car ce peut être alors un effet du malheur,  mais sans se défier, mon maître, on se hasarde."
"C’est pour me mettre en garde,  et prendre un terrain propre à pouvoir résister.","Poltron, ne vois-tu pas."
"Poltron, ne vois-tu pas.","Qu’on va nous en conter."
"Qu’on va nous en conter.","Carrille, évitons-la."
"Quoi !","Vous me quittez, traître ?"
