"Briguelle, que fais-tu ?","Je rassure mon cœur, et tâche à retenir mon âme qui s’envole."
"Ah, divine amarille !","Arrêtez-vous un peu : par ces mots si charmants vous augmentez mon feu ; et rien dorénavant ne peut être capable d'altérer une amour qui n'a point de semblable."
"Arrêtez-vous un peu : par ces mots si charmants vous augmentez mon feu ; et rien dorénavant ne peut être capable d'altérer une amour qui n'a point de semblable.","Sur cette vérité puis-je espérer ce soir, pour vous la confirmer, le bonheur de vous voir ?"
"Sur cette vérité puis-je espérer ce soir, pour vous la confirmer, le bonheur de vous voir ?","Si j'obtiens cette grâce à nulle autre seconde, amarille, je suis le plus heureux du monde."
"Si j'obtiens cette grâce à nulle autre seconde, amarille, je suis le plus heureux du monde.","Aussitôt que le jour fera place à la nuit, venez assurément sans escorte, et sans bruit, je vous entretiendrai dessous cette fenêtre."
"Je vous y préviendrai, pour vous faire connaître qu'un amant méprisé méprise le danger, quand son jaloux dépit l'oblige à se venger.","J'attends ces doux moments avec impatience, pour montrer qu'il n'est rien d'égal à ma constance."
"Et pour montrer la mienne, adieu, soyez certain qu’à vous seul je réserve et mon coeur et ma main.","Ah, que vous me livrez de sensibles atteintes !"
"Ah, que vous me livrez de sensibles atteintes !","Il faut, belle amarille, il faut bannir les craintes, votre foi m'en assure ; et vivre sous vos lois, c'est être plus heureux que commander aux rois."
"Ne te réjouis point d’une telle promesse, tu ne possèdes pas encore ta maîtresse, et quoique mon amour ne soit pas violent, que je ne veuille ici passer que pour galant, je te veux faire voir dedans cette poursuite que je ne manque pas d’adresse et de conduite : je sais feindre des maux, et d’un ton innocent, je fais l’extasié, je fais le languissant ; je fais adroitement mes approches, j’assiège, je fais donner ainsi la beauté dans le piège : je jure que je suis plein de fidélité, j’atteste tous les dieux sur cette vérité ; je lui dis que ses yeux ont fait naître en mon âme des désirs tous brûlants, des transports tous de flamme, et qu’au piteux état où me réduit l’amour, il faut me secourir ou me ravir le jour.","C'est de cette façon, c'est dessous cette feinte qu'on voit enfin l'amour l'emporter sur la crainte : amarille, c'est là que votre passion ne pourra l'emporter sur ma précaution, et que je réduirai vos projets en fumée."
"C'est de cette façon, c'est dessous cette feinte qu'on voit enfin l'amour l'emporter sur la crainte : amarille, c'est là que votre passion ne pourra l'emporter sur ma précaution, et que je réduirai vos projets en fumée.","Aimez, aimez et soyez-en aimée ; je vais vous prévenir, et dans la fin du jour vous verrez si je sais contenter mon amour."
"Taisez-vous, parlez bas, je fais la sentinelle ; on vous cherche partout pour vous prendre au collet, et pour gripper aussi votre pauvre valet ; j’ai passé par la place où le gibet s’apprête ; je suis aussi prié de danser à la fête ; de peur du mauvais air, on vous gardera peu.","Apprends que les tourments, ni le fer, ni le feu, ne sauraient imprimer sur ce coeur ferme et stable."
"Passe dedans ce coin, il nous sert de retraite en ce présent besoin.","Tu trembles !"
"Tu trembles !","Le coeur bat."
"Vous me fermez la bouche.","Venez, que je vous mène en votre appartement."
"Tant s'en faut, je rends grâce à la bonté des flots de m'avoir mis ici sain et sauf: à propos, avez-vous jamais mieux sauté de votre vie ?","Dites-moi, songiez-vous à cloris ?"
"Dites-moi, songiez-vous à cloris ?","À sylvie ?"
"À sylvie ?","À diane ?"
"À diane ?","À philis ?"
"À philis ?","Non, très assurément."
"J’en use comme il faut ; il n’a point sur mon âme le crédit de m’avoir fait répondre à sa flamme ; je règle mes désirs, et je ne sais comment on a pu deviner qu’il était mon amant.","Il est je ne sais quoi dans l'amoureux mystère qui se découvre assez, bien qu'on tâche à le taire ; ma mère me disait un soir auprès du feu que l'amour ne peut pas se cacher, ou bien peu ; que l'amant bien souvent, lors que moins il y pense, n'est pas avec soi-même en bonne intelligence ; tout le trahit, on voit en lui des mouvements qui ne s'accordent pas avec ses sentiments ; il paraît interdit, ses discours sont sans suite, tout ce qu'il fait parait sans ordre, et sans conduite : on le surprend souvent sur des yeux radoucis, on lui voit des langueurs, on lui voit des soucis, on voit couler des pleurs, il est mélancolique, tout objet lui déplait, hors celui qui le pique ; mais dès qu'il peut aussi le voir, et lui parler, soupirs, pleurs, et soucis, s'évaporent en l'air ; il n'en parait pas un, et son coeur, ce lui semble, pâme d'aise et d'amour autant qu'ils sont ensemble ; il voudrait expirer dans ce ravissement."
"Voilà, ma chère soeur, ce qu’on dit de l’amant ; et si l’on tient encore pour vérité constante, que l’amant est beaucoup moins touché que l’amante.","Vraiment, à vous ouïr parler, à si bien de l'amour les signes étaler, en déduire si bien toutes les circonstances, vous en devez avoir de grandes connaissances."
"Point, ce que j'en ai dit n'est qu'un discours en l'air.","Sans doute vous aimez."
"Quoi !","Votre âme d'amour n'est pas préoccupée ?"
"Mes dieux !","Quelles beautés à mes yeux se présentent ?"
"Monsieur, songez vous bien.","Tais-toi ; que fait ainsi l'honneur de la contrée ?"
"Vous ne songez donc plus à votre repentance ?","Non, je veux contenter ma curiosité."
"Ah !","Que facilement un pauvre coeur s'engage à l'abord imprévu de si grandes beautés."
"Monsieur, les matelots, les écueils, le naufrage ?","Je n'ai jamais rien vu de si beau que tes yeux."
"Ah !","Que les tiens ont des traits radieux !"
"La tempête.","Ta taille est charmante au possible."
"Les tonnerres .","Pour toi je suis extrêmement sensible."
"Il vous en faut donc bien, monsieur ?","Encore un mot."
"Bergères à mes yeux cent fois plus adorables.","Est-ce craindre les dieux, que d'adorer les diables ?"
"Mais après tout, monsieur, que voulez vous nous dire ?","Qu'il faut vous disposer à finir mon martyre, à m'être favorable, et dans ce même jour payer de vos faveurs mon véritable amour."
"Vous fuyez, rigoureuses !","Mais il faut contenter mes flammes amoureuses."
"Ô ciel trop rigoureux !","Tu méritais sans doute un destin plus heureux : hélas !"
"C’est celui de ce traître qui m’a voulu perdre aujourd’hui.","Ne craignez rien."
"Hélas !","Vous avez peur, peut-être ?"
"Hé !","Qui diable vous tient ?"
"Enfin que voulez vous ?","Moi, je veux compatir à vos malheurs extrêmes."
"Moi, je veux compatir à vos malheurs extrêmes.","Les pitoyables dieux par leurs bontés suprêmes."
"Fable, ce dites vous, c'est une vérité.","Tes yeux sont éblouis par la timidité."
"Monsieur, de grâce, souffrez que j’abandonne un moment cette place, que je ne meure pas sans revoir mes parents.","Ce sont là de ta peur des signes apparents."
"T'exposeras-tu pas pour moi ?","Jusques aux yeux."
"Quoi ?","Merveilles."
"Vous vous moquez, monsieur.","Je parle tout de bon."
"Eh bien !","Approche donc et me tiens compagnie."
"Quoi !","N'es-tu venu pour autre chose ici ?"
"Espère qu'un mort, quoique offensé, te fera bonne chère.","Je t'ai tenu parole en me trouvant ici, me tiendras tu la tienne ?"
"Bon courage, mon gendre !","Allons, c'est en ce jour qu'il faut montrer qu'on a du coeur et de l'amour."
"Mais quelqu'un viendrait-il ici troubler la fête ?","C'est à moi que le sort vous destine aujourd'hui."
